unique_id,expect_path,old_compact,new_compact,source_folder
0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0152_0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0153_0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0167_0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0168_0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff
0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0169_0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0170_0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0171_0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0183_0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659
0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0184_0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab
0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0185_0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20
