unique_test_path,unique_expect_path,unique_id,status,class,semantic_key,source_csv
uxm\tests\all_expected_known\0235__s11_STAGE11_tensor_advanced__uxm_tests_native_test18_pointer_service__df26f04e62.uxm,uxm\tests\all_expected_known\0235__s11_STAGE11_tensor_advanced__uxm_tests_native_test18_pointer_service__df26f04e62.expect,uxm_tests_all_expected_known_0235__s11_STAGE11_tensor_advanced__uxm_tests_native_test18_pointer_service__df26f04e62.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test18_pointer_service,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0236__s11_STAGE11_tensor_advanced__uxm_tests_native_test20_fifo_char_order__c1764b342c.uxm,uxm\tests\all_expected_known\0236__s11_STAGE11_tensor_advanced__uxm_tests_native_test20_fifo_char_order__c1764b342c.expect,uxm_tests_all_expected_known_0236__s11_STAGE11_tensor_advanced__uxm_tests_native_test20_fifo_char_order__c1764b342c.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test20_fifo_char_order,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0237__s11_STAGE11_tensor_advanced__uxm_tests_native_test21_fifo_count_peek__7cbb128eb0.uxm,uxm\tests\all_expected_known\0237__s11_STAGE11_tensor_advanced__uxm_tests_native_test21_fifo_count_peek__7cbb128eb0.expect,uxm_tests_all_expected_known_0237__s11_STAGE11_tensor_advanced__uxm_tests_native_test21_fifo_count_peek__7cbb128eb0.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test21_fifo_count_peek,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0239__s11_STAGE11_tensor_advanced__uxm_tests_native_test23_data_digit_ascii_to_number__ce86650ec8.uxm,uxm\tests\all_expected_known\0239__s11_STAGE11_tensor_advanced__uxm_tests_native_test23_data_digit_ascii_to_number__ce86650ec8.expect,uxm_tests_all_expected_known_0239__s11_STAGE11_tensor_advanced__uxm_tests_native_test23_data_digit_ascii_to_number__ce86650ec8.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test23_data_digit_ascii_to_number,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0240__s11_STAGE11_tensor_advanced__uxm_tests_native_test24_data_block_copy_print__0544393ce5.uxm,uxm\tests\all_expected_known\0240__s11_STAGE11_tensor_advanced__uxm_tests_native_test24_data_block_copy_print__0544393ce5.expect,uxm_tests_all_expected_known_0240__s11_STAGE11_tensor_advanced__uxm_tests_native_test24_data_block_copy_print__0544393ce5.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test24_data_block_copy_print,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0241__s11_STAGE11_tensor_advanced__uxm_tests_native_test25_data_sort_ascending__d04d7a1665.uxm,uxm\tests\all_expected_known\0241__s11_STAGE11_tensor_advanced__uxm_tests_native_test25_data_sort_ascending__d04d7a1665.expect,uxm_tests_all_expected_known_0241__s11_STAGE11_tensor_advanced__uxm_tests_native_test25_data_sort_ascending__d04d7a1665.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test25_data_sort_ascending,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0242__s11_STAGE11_tensor_advanced__uxm_tests_native_test26_tape_sort_descending_chars__9f54dd8c13.uxm,uxm\tests\all_expected_known\0242__s11_STAGE11_tensor_advanced__uxm_tests_native_test26_tape_sort_descending_chars__9f54dd8c13.expect,uxm_tests_all_expected_known_0242__s11_STAGE11_tensor_advanced__uxm_tests_native_test26_tape_sort_descending_chars__9f54dd8c13.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test26_tape_sort_descending_chars,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0243__s11_STAGE11_tensor_advanced__uxm_tests_native_test27_tape_linear_search__2cd880af08.uxm,uxm\tests\all_expected_known\0243__s11_STAGE11_tensor_advanced__uxm_tests_native_test27_tape_linear_search__2cd880af08.expect,uxm_tests_all_expected_known_0243__s11_STAGE11_tensor_advanced__uxm_tests_native_test27_tape_linear_search__2cd880af08.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test27_tape_linear_search,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0244__s11_STAGE11_tensor_advanced__uxm_tests_native_test28_dynamic_meta_fifo__f394e8656d.uxm,uxm\tests\all_expected_known\0244__s11_STAGE11_tensor_advanced__uxm_tests_native_test28_dynamic_meta_fifo__f394e8656d.expect,uxm_tests_all_expected_known_0244__s11_STAGE11_tensor_advanced__uxm_tests_native_test28_dynamic_meta_fifo__f394e8656d.uxm,BUILD_OR_RUN_FAIL,ASM_BUILD_ERROR,native_test28_dynamic_meta_fifo,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0245__s11_STAGE11_tensor_advanced__uxm_tests_native_test29_nested_macro_call__b41ffab903.uxm,uxm\tests\all_expected_known\0245__s11_STAGE11_tensor_advanced__uxm_tests_native_test29_nested_macro_call__b41ffab903.expect,uxm_tests_all_expected_known_0245__s11_STAGE11_tensor_advanced__uxm_tests_native_test29_nested_macro_call__b41ffab903.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test29_nested_macro_call,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0247__s11_STAGE11_tensor_advanced__uxm_tests_native_test31_safe_mode_wild_denied__656fd3964f.uxm,uxm\tests\all_expected_known\0247__s11_STAGE11_tensor_advanced__uxm_tests_native_test31_safe_mode_wild_denied__656fd3964f.expect,uxm_tests_all_expected_known_0247__s11_STAGE11_tensor_advanced__uxm_tests_native_test31_safe_mode_wild_denied__656fd3964f.uxm,BUILD_OR_RUN_FAIL,BUILD_OR_RUNTIME_ERROR,native_test31_safe_mode_wild_denied,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0248__s11_STAGE11_tensor_advanced__uxm_tests_native_test32_wild_layout_change__f8cad9d531.uxm,uxm\tests\all_expected_known\0248__s11_STAGE11_tensor_advanced__uxm_tests_native_test32_wild_layout_change__f8cad9d531.expect,uxm_tests_all_expected_known_0248__s11_STAGE11_tensor_advanced__uxm_tests_native_test32_wild_layout_change__f8cad9d531.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test32_wild_layout_change,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0249__s11_STAGE11_tensor_advanced__uxm_tests_native_test33_bitwise_and_stack__41357a25c4.uxm,uxm\tests\all_expected_known\0249__s11_STAGE11_tensor_advanced__uxm_tests_native_test33_bitwise_and_stack__41357a25c4.expect,uxm_tests_all_expected_known_0249__s11_STAGE11_tensor_advanced__uxm_tests_native_test33_bitwise_and_stack__41357a25c4.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test33_bitwise_and_stack,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
